,GHI_Open_Field (W/m2),GHI_Agrivoltaic (W/m2),Temperature_Open_Field (C),Temperature_Agrivoltaic (C),Wind_Speed (m/s),Relative_Humidity (%),Panel_Tilt (degrees)
2022-06-28 15:00:00+00:00,555.0,555.0,25.31,24.11,2.83,66.95,51.51623773403816
2022-06-28 16:00:00+00:00,372.0,372.0,24.92,23.720000000000002,2.48,69.15,47.95612623343643
2022-06-28 17:00:00+00:00,188.0,188.0,24.38,23.18,2.07,69.05,20.663627027032106
2022-06-28 18:00:00+00:00,31.0,31.0,23.64,22.44,1.52,73.75,6.985023540621384
2022-06-28 19:00:00+00:00,0.0,0.0,22.58,21.38,1.52,81.4,0.0
2022-06-28 20:00:00+00:00,0.0,0.0,21.34,20.14,1.03,89.95,0.0
2022-06-28 21:00:00+00:00,0.0,0.0,21.99,20.79,0.69,84.1,0.0
2022-06-28 22:00:00+00:00,0.0,0.0,21.69,20.490000000000002,0.21,87.0,0.0
2022-06-28 23:00:00+00:00,0.0,0.0,21.24,20.04,0.41,89.95,0.0
2022-06-29 00:00:00+00:00,0.0,0.0,20.75,19.55,0.9,92.95,0.0
2022-06-29 01:00:00+00:00,0.0,0.0,18.87,17.67,1.24,96.1,0.0
2022-06-29 02:00:00+00:00,0.0,0.0,17.94,16.740000000000002,1.38,99.4,0.0
2022-06-29 03:00:00+00:00,0.0,0.0,17.96,16.76,1.38,99.4,0.0
2022-06-29 04:00:00+00:00,45.0,45.0,18.29,17.09,1.52,96.1,4.3392852969559454
2022-06-29 05:00:00+00:00,177.0,177.0,19.1,17.900000000000002,1.52,92.9,17.361950677920195
2022-06-29 06:00:00+00:00,386.0,386.0,20.67,19.470000000000002,1.52,86.9,37.98855790861189
2022-06-29 07:00:00+00:00,527.0,489.92,22.01,20.810000000000002,1.38,81.35,53.958130510143704
2022-06-29 08:00:00+00:00,742.0,568.9,23.48,22.28,1.59,68.85,42.26312619409049
2022-06-29 09:00:00+00:00,867.0,548.68,24.81,23.61,1.79,58.35,29.57052769664391
2022-06-29 10:00:00+00:00,956.0,562.0,25.91,24.71,2.21,54.7,15.896995025484504
2022-06-29 11:00:00+00:00,980.0,590.72,26.58,25.38,2.76,51.2,1.570163491656452
2022-06-29 12:00:00+00:00,943.0,604.2,26.88,25.68,3.17,49.55,12.827539869611352
2022-06-29 13:00:00+00:00,861.0,637.32,26.91,25.71,3.24,49.55,26.683763882670753
2022-06-29 14:00:00+00:00,724.0,689.98,26.88,25.68,3.17,49.55,39.603961956192926
2022-06-29 15:00:00+00:00,548.0,548.0,26.81,25.61,3.1,47.9,51.50712071710521
2022-06-29 16:00:00+00:00,360.0,360.0,26.44,25.240000000000002,2.83,51.2,47.971198875064616
2022-06-29 17:00:00+00:00,176.0,176.0,25.89,24.69,2.34,54.7,20.659550946707974
2022-06-29 18:00:00+00:00,29.0,29.0,25.14,23.94,1.93,58.35,6.9781703066951755
2022-06-29 19:00:00+00:00,0.0,0.0,23.79,22.59,1.66,68.95,0.0
2022-06-29 20:00:00+00:00,0.0,0.0,22.49,21.29,1.66,78.7,0.0
2022-06-29 21:00:00+00:00,0.0,0.0,21.52,20.32,1.93,84.05,0.0
2022-06-29 22:00:00+00:00,0.0,0.0,21.25,20.05,2.41,81.3,0.0
2022-06-29 23:00:00+00:00,0.0,0.0,21.71,20.51,2.9,78.65,0.0
